App,Categoria,Downloads,Tipo,Preco,Nota,Avaliacoes,Contem_Anuncios,Compras_no_App,Versao,Ultima_Atualizacao,Android,Classificacao_Conteudo,Lancamento
Circuit Planejador de Rotas,Mapas e navegação,,Gratuito,0.0,4.7,89700,Não,Sim,,,,,
discovery+ | Streaming,Entretenimento,,Gratuito,0.0,4.8,176000,Sim,Sim,,,,,
FaceApp: Editor facial,Fotografia,,Gratuito,0.0,4.5,4440000,Sim,Sim,,,,,
Treino para perda de peso,Saúde e fitness,,Gratuito,0.0,4.2,95900,Não,Sim,,,,,
"Udemy: aprender online com 130,000 video cursos",Educação,,Gratuito,0.0,4.6,373000,Não,Sim,,,,,
Discord - Converse & Fale,Comunicação,,Gratuito,0.0,4.4,4600000,Não,Sim,,,,,
"Bumble: date, amigos e network",Encontros,,Gratuito,0.0,4.2,440000,Não,Sim,,,,,
CamScanner - PDF Scanner app,Produtividade,,Gratuito,0.0,4.9,4090000,Sim,Sim,,,,,
Paramount+,Entretenimento,,Gratuito,0.0,4.1,95700,Não,Sim,,,,,
"Hago- Festa, Conversa, Jogos",Social,,Gratuito,0.0,4.2,6240000,Sim,Sim,,,,,
Adobe Acrobat Reader: Ler PDF,Produtividade,,Gratuito,0.0,4.7,5210000,Não,Sim,,,,,
Avast Antivírus & Segurança,Ferramentas,,Gratuito,0.0,4.8,6990000,Sim,Sim,,,,,
